Location,Building Class,Area (SQM),25th Percentile ($ PSM),Median ($ PSM),75th Percentile ($ PSM),Reference Period
Central Area,Category 1,100 & Below,100.00,101.69,103.53,2016Q1
Central Area,Category 1,>100 - 200,94.05,102.28,109.77,2016Q1
Central Area,Category 1,>200 - 500,96.28,99.11,113.01,2016Q1
Central Area,Category 1,>500 - 1000,87.99,99.56,104.95,2016Q1
Central Area,Category 1,>1000,82.35,98.19,101.45,2016Q1
Central Area,Category 2,100 & Below,47.69,58.98,70.49,2016Q1
Central Area,Category 2,>100 - 200,43.08,61.54,84.48,2016Q1
Central Area,Category 2,>200 - 500,55.37,69.96,80.54,2016Q1
Central Area,Category 2,>500 - 1000,65.54,67.55,83.34,2016Q1
Central Area,Category 2,>1000,58.22,64.91,82.34,2016Q1
Central Area,Category 1,100 & Below,99.06,106.57,109.26,2016Q2
Central Area,Category 1,>100 - 200,98.22,105.48,119.12,2016Q2
Central Area,Category 1,>200 - 500,96.88,107.75,118.42,2016Q2
Central Area,Category 1,>500 - 1000,90.54,94.72,102.26,2016Q2
Central Area,Category 1,>1000,93.30,99.56,115.71,2016Q2
Central Area,Category 2,100 & Below,47.64,58.57,71.32,2016Q2
Central Area,Category 2,>100 - 200,48.44,62.41,79.12,2016Q2
Central Area,Category 2,>200 - 500,51.87,61.35,69.91,2016Q2
Central Area,Category 2,>500 - 1000,52.47,62.43,80.94,2016Q2
Central Area,Category 2,>1000,54.36,70.66,75.22,2016Q2
Central Area,Category 1,100 & Below,86.01,94.16,101.05,2016Q3
Central Area,Category 1,>100 - 200,90.59,102.24,116.25,2016Q3
Central Area,Category 1,>200 - 500,96.88,108.65,125.93,2016Q3
Central Area,Category 1,>500 - 1000,91.50,99.03,110.87,2016Q3
Central Area,Category 1,>1000,79.12,92.57,104.14,2016Q3
Central Area,Category 2,100 & Below,45.72,59.20,71.46,2016Q3
Central Area,Category 2,>100 - 200,53.70,63.10,81.78,2016Q3
Central Area,Category 2,>200 - 500,51.62,61.89,75.34,2016Q3
Central Area,Category 2,>500 - 1000,61.28,70.05,82.26,2016Q3
Central Area,Category 2,>1000,79.80,91.50,98.76,2016Q3
Central Area,Category 1,100 & Below,86.36,89.93,103.10,2016Q4
Central Area,Category 1,>100 - 200,80.71,83.80,96.33,2016Q4
Central Area,Category 1,>200 - 500,87.42,104.96,118.42,2016Q4
Central Area,Category 1,>500 - 1000,92.29,99.57,103.87,2016Q4
Central Area,Category 1,>1000,88.53,90.17,99.57,2016Q4
Central Area,Category 2,100 & Below,48.44,59.16,69.75,2016Q4
Central Area,Category 2,>100 - 200,46.49,57.82,73.75,2016Q4
Central Area,Category 2,>200 - 500,53.89,61.35,75.43,2016Q4
Central Area,Category 2,>500 - 1000,53.26,61.54,70.07,2016Q4
Central Area,Category 2,>1000,38.40,58.49,76.17,2016Q4
Central Area,Category 1,100 & Below,96.29,96.86,115.08,2017Q1
Central Area,Category 1,>100 - 200,79.64,95.80,99.55,2017Q1
Central Area,Category 1,>200 - 500,85.03,96.88,107.64,2017Q1
Central Area,Category 1,>500 - 1000,82.88,96.88,107.64,2017Q1
Central Area,Category 1,>1000,83.47,91.49,101.18,2017Q1
Central Area,Category 2,100 & Below,47.33,58.95,68.60,2017Q1
Central Area,Category 2,>100 - 200,48.77,64.59,80.60,2017Q1
Central Area,Category 2,>200 - 500,51.06,63.45,76.07,2017Q1
Central Area,Category 2,>500 - 1000,50.66,66.00,73.59,2017Q1
Central Area,Category 2,>1000,54.91,69.07,86.11,2017Q1
Central Area,Category 1,100 & Below,90.62,99.02,105.41,2017Q2
Central Area,Category 1,>100 - 200,86.39,96.87,107.63,2017Q2
Central Area,Category 1,>200 - 500,86.11,96.16,105.62,2017Q2
Central Area,Category 1,>500 - 1000,86.11,96.33,103.26,2017Q2
Central Area,Category 1,>1000,86.22,92.36,97.68,2017Q2
Central Area,Category 2,100 & Below,44.87,56.90,68.97,2017Q2
Central Area,Category 2,>100 - 200,53.89,64.58,78.05,2017Q2
Central Area,Category 2,>200 - 500,54.62,67.81,77.50,2017Q2
Central Area,Category 2,>500 - 1000,51.67,64.58,78.15,2017Q2
Central Area,Category 2,>1000,52.74,68.35,70.52,2017Q2
Central Area,Category 1,100 & Below,91.49,96.87,103.69,2017Q3
Central Area,Category 1,>100 - 200,87.57,96.84,102.25,2017Q3
Central Area,Category 1,>200 - 500,86.10,93.44,110.50,2017Q3
Central Area,Category 1,>500 - 1000,88.82,95.80,103.85,2017Q3
Central Area,Category 1,>1000,86.11,93.65,102.26,2017Q3
Central Area,Category 2,100 & Below,50.16,59.24,70.66,2017Q3
Central Area,Category 2,>100 - 200,51.63,64.57,80.71,2017Q3
Central Area,Category 2,>200 - 500,51.43,63.76,75.77,2017Q3
Central Area,Category 2,>500 - 1000,48.39,63.44,78.04,2017Q3
Central Area,Category 2,>1000,64.58,67.66,86.11,2017Q3
Central Area,Category 1,100 & Below,96.85,102.26,110.94,2017Q4
Central Area,Category 1,>100 - 200,87.22,99.02,105.50,2017Q4
Central Area,Category 1,>200 - 500,88.29,96.87,113.02,2017Q4
Central Area,Category 1,>500 - 1000,87.07,96.88,103.49,2017Q4
Central Area,Category 1,>1000,82.81,97.65,103.87,2017Q4
Central Area,Category 2,100 & Below,48.36,56.94,67.60,2017Q4
Central Area,Category 2,>100 - 200,46.27,63.64,77.70,2017Q4
Central Area,Category 2,>200 - 500,58.19,67.50,79.40,2017Q4
Central Area,Category 2,>500 - 1000,53.91,67.29,77.50,2017Q4
Central Area,Category 2,>1000,59.19,66.48,71.04,2017Q4
Central Area,Category 1,100 & Below,95.45,100.45,104.42,2018Q1
Central Area,Category 1,>100 - 200,88.73,96.88,105.48,2018Q1
Central Area,Category 1,>200 - 500,86.10,102.25,116.27,2018Q1
Central Area,Category 1,>500 - 1000,86.11,91.49,105.49,2018Q1
Central Area,Category 1,>1000,90.69,96.87,101.97,2018Q1
Central Area,Category 2,100 & Below,50.00,58.06,67.80,2018Q1
Central Area,Category 2,>100 - 200,53.80,66.70,80.44,2018Q1
Central Area,Category 2,>200 - 500,54.90,68.93,79.57,2018Q1
Central Area,Category 2,>500 - 1000,57.87,71.58,83.04,2018Q1
Central Area,Category 2,>1000,67.09,81.23,88.91,2018Q1
Central Area,Category 1,100 & Below,92.84,99.76,108.49,2018Q2
Central Area,Category 1,>100 - 200,95.94,105.30,122.55,2018Q2
Central Area,Category 1,>200 - 500,87.19,102.24,116.26,2018Q2
Central Area,Category 1,>500 - 1000,101.35,110.87,116.92,2018Q2
Central Area,Category 1,>1000,92.62,99.04,116.25,2018Q2
Central Area,Category 2,100 & Below,48.53,58.67,70.06,2018Q2
Central Area,Category 2,>100 - 200,49.79,65.98,83.96,2018Q2
Central Area,Category 2,>200 - 500,56.51,70.51,80.72,2018Q2
Central Area,Category 2,>500 - 1000,52.01,67.75,80.91,2018Q2
Central Area,Category 2,>1000,64.58,77.05,89.18,2018Q2
Central Area,Category 1,100 & Below,89.38,102.26,113.02,2018Q3
Central Area,Category 1,>100 - 200,87.49,99.02,113.62,2018Q3
Central Area,Category 1,>200 - 500,90.17,107.45,127.29,2018Q3
Central Area,Category 1,>500 - 1000,86.11,98.78,120.82,2018Q3
Central Area,Category 1,>1000,90.15,108.78,118.41,2018Q3
Central Area,Category 2,100 & Below,46.19,59.34,70.16,2018Q3
Central Area,Category 2,>100 - 200,55.61,69.67,79.72,2018Q3
Central Area,Category 2,>200 - 500,57.11,68.88,80.73,2018Q3
Central Area,Category 2,>500 - 1000,49.62,68.35,78.88,2018Q3
Central Area,Category 2,>1000,64.05,74.98,89.39,2018Q3
Central Area,Category 1,100 & Below,95.52,104.98,115.78,2018Q4
Central Area,Category 1,>100 - 200,91.36,99.04,105.21,2018Q4
Central Area,Category 1,>200 - 500,89.88,102.79,124.07,2018Q4
Central Area,Category 1,>500 - 1000,96.87,105.28,118.40,2018Q4
Central Area,Category 1,>1000,95.14,103.62,118.81,2018Q4
Central Area,Category 2,100 & Below,46.48,58.16,68.85,2018Q4
Central Area,Category 2,>100 - 200,51.69,67.80,80.73,2018Q4
Central Area,Category 2,>200 - 500,55.35,70.93,81.01,2018Q4
Central Area,Category 2,>500 - 1000,67.15,75.34,86.47,2018Q4
Central Area,Category 2,>1000,58.19,72.72,81.00,2018Q4
Central Area,Category 1,100 & Below,91.49,101.18,108.72,2019Q1
Central Area,Category 1,>100 - 200,96.08,102.25,115.96,2019Q1
Central Area,Category 1,>200 - 500,94.32,107.64,116.24,2019Q1
Central Area,Category 1,>500 - 1000,103.88,113.03,129.41,2019Q1
Central Area,Category 1,>1000,111.21,124.32,130.24,2019Q1
Central Area,Category 2,100 & Below,45.02,56.94,69.77,2019Q1
Central Area,Category 2,>100 - 200,50.02,62.00,78.55,2019Q1
Central Area,Category 2,>200 - 500,57.05,72.66,83.96,2019Q1
Central Area,Category 2,>500 - 1000,60.79,75.35,84.77,2019Q1
Central Area,Category 2,>1000,75.67,81.81,97.58,2019Q1
Central Area,Category 1,100 & Below,93.19,102.25,107.55,2019Q2
Central Area,Category 1,>100 - 200,101.43,106.34,118.40,2019Q2
Central Area,Category 1,>200 - 500,96.88,107.64,119.08,2019Q2
Central Area,Category 1,>500 - 1000,93.71,99.60,120.56,2019Q2
Central Area,Category 1,>1000,86.82,98.06,115.66,2019Q2
Central Area,Category 2,100 & Below,44.47,58.13,68.18,2019Q2
Central Area,Category 2,>100 - 200,51.67,65.19,82.95,2019Q2
Central Area,Category 2,>200 - 500,58.11,69.96,83.83,2019Q2
Central Area,Category 2,>500 - 1000,65.02,83.16,91.43,2019Q2
Central Area,Category 2,>1000,61.15,80.73,87.08,2019Q2
Central Area,Category 1,100 & Below,91.66,99.60,107.64,2019Q3
Central Area,Category 1,>100 - 200,103.32,109.69,124.32,2019Q3
Central Area,Category 1,>200 - 500,93.64,107.64,122.39,2019Q3
Central Area,Category 1,>500 - 1000,98.56,109.26,120.96,2019Q3
Central Area,Category 1,>1000,88.76,106.31,132.13,2019Q3
Central Area,Category 2,100 & Below,46.73,57.69,70.21,2019Q3
Central Area,Category 2,>100 - 200,52.77,69.95,85.86,2019Q3
Central Area,Category 2,>200 - 500,53.82,66.27,77.50,2019Q3
Central Area,Category 2,>500 - 1000,48.44,68.29,82.12,2019Q3
Central Area,Category 2,>1000,58.36,72.95,87.56,2019Q3
Central Area,Category 1,100 & Below,94.42,107.66,117.98,2019Q4
Central Area,Category 1,>100 - 200,104.39,108.70,118.41,2019Q4
Central Area,Category 1,>200 - 500,102.15,109.79,137.78,2019Q4
Central Area,Category 1,>500 - 1000,100.58,103.87,132.41,2019Q4
Central Area,Category 1,>1000,103.86,117.33,128.96,2019Q4
Central Area,Category 2,100 & Below,51.96,60.32,70.00,2019Q4
Central Area,Category 2,>100 - 200,53.77,67.81,82.70,2019Q4
Central Area,Category 2,>200 - 500,57.05,68.08,83.96,2019Q4
Central Area,Category 2,>500 - 1000,64.58,78.56,89.88,2019Q4
Central Area,Category 2,>1000,62.43,74.32,86.11,2019Q4
Central Area,Category 1,100 & Below,89.92,107.64,114.64,2020Q1
Central Area,Category 1,>100 - 200,94.73,106.02,113.00,2020Q1
Central Area,Category 1,>200 - 500,95.79,107.64,120.04,2020Q1
Central Area,Category 1,>500 - 1000,101.58,108.18,133.74,2020Q1
Central Area,Category 1,>1000,59.89,90.70,107.02,2020Q1
Central Area,Category 2,100 & Below,46.33,58.24,68.97,2020Q1
Central Area,Category 2,>100 - 200,45.61,64.84,82.01,2020Q1
Central Area,Category 2,>200 - 500,59.20,73.02,87.66,2020Q1
Central Area,Category 2,>500 - 1000,53.71,75.79,86.71,2020Q1
Central Area,Category 2,>1000,24.40,57.78,81.55,2020Q1
Central Area,Category 1,100 & Below,89.87,99.02,107.69,2020Q2
Central Area,Category 1,>100 - 200,97.29,104.92,118.34,2020Q2
Central Area,Category 1,>200 - 500,102.26,115.72,130.39,2020Q2
Central Area,Category 1,>500 - 1000,95.94,102.25,128.15,2020Q2
Central Area,Category 1,>1000,103.59,113.02,117.05,2020Q2
Central Area,Category 2,100 & Below,39.97,53.42,67.20,2020Q2
Central Area,Category 2,>100 - 200,53.74,69.97,85.51,2020Q2
Central Area,Category 2,>200 - 500,59.02,75.17,89.88,2020Q2
Central Area,Category 2,>500 - 1000,70.52,75.45,96.88,2020Q2
Central Area,Category 2,>1000,21.01,30.88,67.06,2020Q2
Central Area,Category 1,100 & Below,81.69,90.42,113.19,2020Q3
Central Area,Category 1,>100 - 200,86.69,99.05,115.76,2020Q3
Central Area,Category 1,>200 - 500,98.87,109.25,129.98,2020Q3
Central Area,Category 1,>500 - 1000,102.46,110.81,125.00,2020Q3
Central Area,Category 1,>1000,96.88,106.56,112.81,2020Q3
Central Area,Category 2,100 & Below,41.14,53.54,65.26,2020Q3
Central Area,Category 2,>100 - 200,50.41,66.57,81.53,2020Q3
Central Area,Category 2,>200 - 500,56.08,65.67,77.50,2020Q3
Central Area,Category 2,>500 - 1000,51.70,67.90,84.35,2020Q3
Central Area,Category 2,>1000,45.99,65.99,84.97,2020Q3
Central Area,Category 1,100 & Below,86.10,91.63,102.33,2020Q4
Central Area,Category 1,>100 - 200,93.57,102.81,113.30,2020Q4
Central Area,Category 1,>200 - 500,94.15,102.27,113.03,2020Q4
Central Area,Category 1,>500 - 1000,82.47,94.72,112.67,2020Q4
Central Area,Category 1,>1000,102.26,109.80,118.43,2020Q4
Central Area,Category 2,100 & Below,42.40,53.78,63.44,2020Q4
Central Area,Category 2,>100 - 200,48.43,62.42,78.58,2020Q4
Central Area,Category 2,>200 - 500,48.44,60.52,75.35,2020Q4
Central Area,Category 2,>500 - 1000,58.42,71.86,92.06,2020Q4
Central Area,Category 2,>1000,61.35,76.39,91.81,2020Q4
Central Area,Category 1,100 & Below,86.58,99.41,109.43,2021Q1
Central Area,Category 1,>100 - 200,89.96,100.65,122.02,2021Q1
Central Area,Category 1,>200 - 500,87.96,96.88,116.25,2021Q1
Central Area,Category 1,>500 - 1000,94.43,105.49,119.49,2021Q1
Central Area,Category 1,>1000,94.16,102.26,115.27,2021Q1
Central Area,Category 2,100 & Below,43.09,53.68,64.57,2021Q1
Central Area,Category 2,>100 - 200,46.33,62.32,75.34,2021Q1
Central Area,Category 2,>200 - 500,51.84,64.58,75.38,2021Q1
Central Area,Category 2,>500 - 1000,61.11,71.23,86.13,2021Q1
Central Area,Category 2,>1000,27.77,59.21,75.35,2021Q1
Central Area,Category 1,100 & Below,89.34,102.27,117.27,2021Q2
Central Area,Category 1,>100 - 200,93.64,101.71,108.11,2021Q2
Central Area,Category 1,>200 - 500,92.57,101.18,113.96,2021Q2
Central Area,Category 1,>500 - 1000,94.45,113.80,128.11,2021Q2
Central Area,Category 1,>1000,93.65,109.36,113.03,2021Q2
Central Area,Category 2,100 & Below,41.67,53.49,65.12,2021Q2
Central Area,Category 2,>100 - 200,48.34,65.67,80.61,2021Q2
Central Area,Category 2,>200 - 500,51.95,68.53,79.79,2021Q2
Central Area,Category 2,>500 - 1000,50.84,72.51,82.16,2021Q2
Central Area,Category 2,>1000,44.32,58.16,72.12,2021Q2
Central Area,Category 1,100 & Below,91.47,102.22,104.82,2021Q3
Central Area,Category 1,>100 - 200,99.01,107.64,130.76,2021Q3
Central Area,Category 1,>200 - 500,90.09,101.72,123.80,2021Q3
Central Area,Category 1,>500 - 1000,91.51,109.79,118.98,2021Q3
Central Area,Category 1,>1000,97.95,111.95,120.56,2021Q3
Central Area,Category 2,100 & Below,39.31,53.60,67.74,2021Q3
Central Area,Category 2,>100 - 200,48.43,62.22,80.71,2021Q3
Central Area,Category 2,>200 - 500,51.46,69.97,83.02,2021Q3
Central Area,Category 2,>500 - 1000,59.43,72.73,82.34,2021Q3
Central Area,Category 2,>1000,40.32,64.58,102.26,2021Q3
Central Area,Category 1,100 & Below,86.11,99.04,108.73,2021Q4
Central Area,Category 1,>100 - 200,89.32,96.93,111.59,2021Q4
Central Area,Category 1,>200 - 500,97.00,110.34,127.43,2021Q4
Central Area,Category 1,>500 - 1000,99.30,107.64,129.17,2021Q4
Central Area,Category 1,>1000,91.63,113.02,123.60,2021Q4
Central Area,Category 2,100 & Below,41.59,51.86,65.11,2021Q4
Central Area,Category 2,>100 - 200,44.53,64.58,80.74,2021Q4
Central Area,Category 2,>200 - 500,53.21,69.96,82.81,2021Q4
Central Area,Category 2,>500 - 1000,51.18,72.89,90.95,2021Q4
Central Area,Category 2,>1000,21.38,69.96,80.73,2021Q4
Central Area,Category 1,100 & Below,87.78,101.18,112.25,2022Q1
Central Area,Category 1,>100 - 200,98.50,105.48,117.67,2022Q1
Central Area,Category 1,>200 - 500,94.94,107.64,125.72,2022Q1
Central Area,Category 1,>500 - 1000,95.85,115.20,129.35,2022Q1
Central Area,Category 1,>1000,91.52,110.61,119.77,2022Q1
Central Area,Category 2,100 & Below,44.12,55.00,64.61,2022Q1
Central Area,Category 2,>100 - 200,46.28,64.59,78.37,2022Q1
Central Area,Category 2,>200 - 500,56.94,74.28,86.10,2022Q1
Central Area,Category 2,>500 - 1000,55.31,69.97,92.71,2022Q1
Central Area,Category 2,>1000,21.63,50.96,80.62,2022Q1
Central Area,Category 1,100 & Below,86.12,104.99,109.83,2022Q2
Central Area,Category 1,>100 - 200,96.86,105.82,128.09,2022Q2
Central Area,Category 1,>200 - 500,100.09,111.93,130.23,2022Q2
Central Area,Category 1,>500 - 1000,89.07,102.80,115.68,2022Q2
Central Area,Category 1,>1000,76.77,104.69,126.43,2022Q2
Central Area,Category 2,100 & Below,44.10,55.93,68.00,2022Q2
Central Area,Category 2,>100 - 200,53.96,73.08,83.02,2022Q2
Central Area,Category 2,>200 - 500,53.88,73.19,85.36,2022Q2
Central Area,Category 2,>500 - 1000,56.05,74.96,95.54,2022Q2
Central Area,Category 2,>1000,59.85,73.19,77.50,2022Q2
Central Area,Category 1,100 & Below,95.01,104.94,112.83,2022Q3
Central Area,Category 1,>100 - 200,96.61,110.75,123.77,2022Q3
