Project Name,block_address,query_used,lat,lon,matched_address
N.A.,110 ROBINSON ROAD,110 ROBINSON ROAD,1.27943057809586,103.848899829225,110 ROBINSON ROAD ERH BUILDING SINGAPORE 068901
CHERN SENG BUILDING,7 HINDOO ROAD,7 HINDOO ROAD,1.30873484923478,103.853876125276,7 HINDOO ROAD CHERN SENG BUILDING SINGAPORE 209108
ROBINSON 77,77 ROBINSON ROAD,77 ROBINSON ROAD,1.27775258405306,103.848429019412,77 ROBINSON ROAD ROBINSON 77 SINGAPORE 068896
N.A.,118 JOO CHIAT ROAD,118 JOO CHIAT ROAD,1.3138416337121,103.899026144702,118 JOO CHIAT ROAD SINGAPORE 427407
GOLDHILL SHOPPING CENTRE,173A THOMSON ROAD,173A THOMSON ROAD,1.31792429355453,103.843311644871,173A THOMSON ROAD GOLDHILL SHOPPING CENTRE SINGAPORE 307623
AXA TOWER,8 SHENTON WAY,8 SHENTON WAY,1.27576579650302,103.847236991881,8 SHENTON WAY THE SKYWATERS SINGAPORE 068811
EVERSHINE AND CENTURY COMPLEX,43B BEACH ROAD,43B BEACH ROAD,1.29626658345066,103.855838016327,43B BEACH ROAD EVERSHINE & CENTURY COMPLEX SINGAPORE 189681
SIME DARBY CENTRE,896 DUNEARN ROAD,896 DUNEARN ROAD,1.33669726404395,103.783723416319,896 DUNEARN ROAD CHILDFIRST@DUNEARN PTE. LTD. SINGAPORE 589472
ORCHID HOTEL,1 TRAS LINK,1 TRAS LINK,1.27693674900724,103.843847224885,1 TRAS LINK ORCHID HOTEL SINGAPORE 078867
AFRO-ASIA BUILDING,63 ROBINSON ROAD,63 ROBINSON ROAD,1.27892485520723,103.849127024633,63 ROBINSON ROAD AFRO-ASIA SINGAPORE 068894
THE GOLDEN LANDMARK,390 VICTORIA STREET,390 VICTORIA STREET,1.30197196437956,103.857804288546,390 VICTORIA STREET THE GOLDEN LANDMARK SINGAPORE 188061
HOLLY BUILDING,"36,36A,36B,36C HONGKONG STREET",36 HONGKONG STREET,1.2873997619591,103.847250493747,36 HONGKONG STREET GWP CENTRE SINGAPORE 059675
N.A.,169 JOO CHIAT ROAD,169 JOO CHIAT ROAD,1.31257321881143,103.900344095016,169 JOO CHIAT ROAD SINGAPORE 427729
N.A.,32 SOUTH BRIDGE ROAD,32 SOUTH BRIDGE ROAD,1.28818596400048,103.848527266426,32 SOUTH BRIDGE ROAD TELOK AYER CONSERVATION AREA SINGAPORE 058667
BALESTIER PLAZA,400 BALESTIER ROAD,400 BALESTIER ROAD,1.32572472557093,103.850395374025,400 BALESTIER ROAD BALESTIER PLAZA SINGAPORE 329802
N.A.,15 HILL STREET,15 HILL STREET,1.35818735145476,103.758792363577,15 CHU YEN STREET HILLVIEW GARDEN ESTATE SINGAPORE 669819
HOUGANG GREEN SHOPPING MALL,21 HOUGANG STREET 51,21 HOUGANG STREET 51,1.3792452907016,103.887832017102,21 HOUGANG STREET 51 HOUGANG GREEN SHOPPING MALL SINGAPORE 538719
ST MICHAEL'S PLACE,1 JALAN TAMAN,1 JALAN TAMAN,1.32505522536131,103.865178186819,1 JALAN TAMAN SAINT MICHAEL'S PLACE SINGAPORE 329022
N.A.,"23,27,29,31,33 NEW BRIDGE ROAD",23 NEW BRIDGE ROAD,1.2887268273636,103.847574761012,23 NEW BRIDGE ROAD SINGAPORE 059389
NORTH BRIDGE CENTRE,420 NORTH BRIDGE ROAD,420 NORTH BRIDGE ROAD,1.29721595747338,103.854944618825,420 NORTH BRIDGE ROAD BERITH BIBLE-PRESBYTERIAN CHURCH SINGAPORE 188727
DIMENSIONS BUILDING,"23C,25C KAMPONG BAHRU ROAD",23C KAMPONG BAHRU ROAD,1.27708979191955,103.836580334145,23 KAMPONG BAHRU ROAD DIMENSIONS BUILDING SINGAPORE 169349
DIMENSIONS BUILDING,"23B,25B KAMPONG BAHRU ROAD",23B KAMPONG BAHRU ROAD,1.27708979191955,103.836580334145,23 KAMPONG BAHRU ROAD DIMENSIONS BUILDING SINGAPORE 169349
EVERSHINE AND CENTURY COMPLEX,43C BEACH ROAD,43C BEACH ROAD,1.29626658345066,103.855838016327,43C BEACH ROAD EVERSHINE & CENTURY COMPLEX SINGAPORE 189681
MYP PLAZA,135 CECIL STREET,135 CECIL STREET,1.27987479120973,103.848767757078,135 CECIL STREET PHILIPPINE AIRLINES BUILDING SINGAPORE 069536
TWENTY ANSON,20 ANSON ROAD,20 ANSON ROAD,1.27536902177375,103.845646949217,20 ANSON ROAD TWENTY ANSON SINGAPORE 079912
SINSOV BUILDING,55 MARKET STREET,55 MARKET STREET,1.28446676154254,103.850660645126,55 MARKET STREET SINGAPORE 048941
SPCS BUILDING,250 SIMS AVENUE,250 SIMS AVENUE,1.31488406937583,103.882622561971,250 SIMS AVENUE SPCS BUILDING SINGAPORE 387513
CITY PLAZA,810 GEYLANG ROAD,810 GEYLANG ROAD,1.3147868971977,103.893472115119,810 GEYLANG ROAD CITY PLAZA SINGAPORE 409286
GOLDEN WALL CENTRE,89 ENBLOC SHORT STREET,89 SHORT STREET,1.30394178690249,103.851485335347,89 SHORT STREET HOTEL MI ROCHOR SINGAPORE 188216
THE PROMENADE@PELIKAT,183 JALAN PELIKAT,183 JALAN PELIKAT,1.35530904178242,103.887857183262,183 JALAN PELIKAT THE PROMENADE@PELIKAT SINGAPORE 537643
N.A.,"45,45A MACPHERSON ROAD",45 MACPHERSON ROAD,1.32865622154442,103.870310687487,45 MACPHERSON ROAD BLEU CASTLE LLP SINGAPORE 348469
N.A.,25 HOOT KIAM ROAD,25 HOOT KIAM ROAD,1.29648247326565,103.830003209637,25 HOOT KIAM ROAD HOOT KIAM MANSION SINGAPORE 249407
LIANG SEAH COURT,8 LIANG SEAH STREET,8 LIANG SEAH STREET,1.29798277931997,103.856632698216,8 LIANG SEAH STREET SINGAPORE 189029
REALTY CENTRE,15 (ENBLOC) ENGGOR STREET,15 ENGGOR STREET,,,
GOLDHILL SHOPPING CENTRE,181A THOMSON ROAD,181A THOMSON ROAD,1.3184407784765,103.843615995542,181A THOMSON ROAD GOLDHILL SHOPPING CENTRE SINGAPORE 307627
CUPPAGE PLAZA,5 KOEK ROAD,5 KOEK ROAD,1.30199868252287,103.84073976691,5 KOEK ROAD CHURCH OF PRAISE SINGAPORE 228796
BUGIS JUNCTION TOWERS,230 VICTORIA STREET,230 VICTORIA STREET,1.29981260775979,103.855955399263,230 VICTORIA STREET BUGIS JUNCTION TOWERS SINGAPORE 188024
FRAGRANCE BUILDING,168 CHANGI ROAD,168 CHANGI ROAD,1.31689484080716,103.902801672539,168 CHANGI ROAD CHERIE HEARTS KIDZ KINGDOM PTE. LTD. SINGAPORE 419730
BEAUTY WORLD PLAZA,140 UPPER BUKIT TIMAH ROAD,140 UPPER BUKIT TIMAH ROAD,1.34180018619223,103.776259359854,140 UPPER BUKIT TIMAH ROAD BEAUTY WORLD PLAZA SINGAPORE 588176
THOMSON PLAZA,301 UPPER THOMSON ROAD,301 UPPER THOMSON ROAD,1.35466902496424,103.830919782333,301 UPPER THOMSON ROAD THOMSON PLAZA SINGAPORE 574408
KH KEA BUILDING,333 NORTH BRIDGE ROAD,333 NORTH BRIDGE ROAD,1.29604625720329,103.853472387903,333 NORTH BRIDGE ROAD ODEON 333 SINGAPORE 188721
N.A.,146 ROBINSON ROAD,146 ROBINSON ROAD,1.27816986052439,103.848096101169,146 ROBINSON ROAD UOI BUILDING SINGAPORE 068909
PANDAN VALLEY,2 PANDAN VALLEY,2 PANDAN VALLEY,1.32044171187429,103.778972458647,"2 PANDAN VALLEY PANDAN VALLEY, ACACIA COURT SINGAPORE 597626"
OXLEY @ RAFFLES,30 RAFFLES PLACE,30 RAFFLES PLACE,1.28419337002984,103.851954013719,30 RAFFLES PLACE BNI TOWER SINGAPORE 048622
SEASIDE PARK,15 JALAN SAUDARA KU,15 JALAN SAUDARA KU,1.31101534283989,103.920670423536,15 JALAN SAUDARA KU SEASIDE PARK SINGAPORE 457451
THE CITRON,1 MARNE ROAD,1 MARNE ROAD,1.31258887477104,103.857214433401,1 MARNE ROAD THE CITRON SINGAPORE 208380
FU LU SHOU COMPLEX,149 ROCHOR ROAD,149 ROCHOR ROAD,1.30151258571919,103.854497235401,149 ROCHOR ROAD FU LU SHOU COMPLEX SINGAPORE 188425
ABI PLAZA,11 KEPPEL ROAD,11 KEPPEL ROAD,1.27311087070405,103.842871095268,11 KEPPEL ROAD ABI PLAZA SINGAPORE 089057
PLUS,20 CECIL STREET,20 CECIL STREET,1.28305868511019,103.85047428531,20 CECIL STREET PLUS SINGAPORE 049705
N.A.,71 ROBINSON ROAD,71 ROBINSON ROAD,1.27838397079891,103.848812961411,71 ROBINSON ROAD 71 ROBINSON SINGAPORE 068895
ANSON CENTRE,51 ANSON ROAD,51 ANSON ROAD,1.27450787128852,103.845710221103,51 ANSON ROAD ANSON CENTRE SINGAPORE 079904
ONZE @ TANJONG PAGAR,11 KEE SENG STREET,11 KEE SENG STREET,1.27484974836861,103.842184815618,11 KEE SENG STREET ONZE @ TANJONG PAGAR SINGAPORE 089218
OUE BAYFRONT/OUE TOWER/OUE LINK,"50,60,62 COLLYER QUAY",50 COLLYER QUAY,1.28316691041157,103.852968257556,50 COLLYER QUAY OUE BAYFRONT SINGAPORE 049321
N.A.,108 ROBINSON ROAD,108 ROBINSON ROAD,1.27954844710103,103.848970997768,108 ROBINSON ROAD SINGAPORE 068900
N.A.,1C YIO CHU KANG ROAD,1C YIO CHU KANG ROAD,1.35408470224454,103.877546953105,1C YIO CHU KANG ROAD SINGAPORE 545509
N.A.,152A JOO CHIAT ROAD,152A JOO CHIAT ROAD,1.31320067800883,103.8995312003,152A JOO CHIAT ROAD SINGAPORE 427430
CERTIS CISCO CENTRE,20 JALAN AFIFI,20 JALAN AFIFI,,,
N.A.,16 KIM KEAT LANE,16 KIM KEAT LANE,1.32381813883759,103.853672271732,16 KIM KEAT LANE SINGAPORE 328874
MIDPOINT ORCHARD,220 ORCHARD ROAD,220 ORCHARD ROAD,1.30178778502846,103.838659766022,220 ORCHARD ROAD MIDPOINT ORCHARD SINGAPORE 238852
MAXWELL HOUSE,20 ENBLOC MAXWELL ROAD,20 MAXWELL ROAD,,,
PETAIN RD/TYRWHITT RD CONSERVATION AREA,255A JALAN BESAR,255A JALAN BESAR,1.31011321731862,103.85814062133,255A JALAN BESAR PETAIN ROAD/TYRWHITT ROAD CONSERVATION AREA SINGAPORE 208928
N.A.,56 JOO CHIAT PLACE,56 JOO CHIAT PLACE,1.31338206552744,103.901648960009,56 JOO CHIAT PLACE SINGAPORE 427780
KENSINGTON SQUARE,2 JALAN LOKAM,2 JALAN LOKAM,1.34560719747232,103.882695128109,2 JALAN LOKAM KENSINGTON SQUARE SINGAPORE 537846
PRESTIGE POINT,398 UPPER PAYA LEBAR ROAD,398 UPPER PAYA LEBAR ROAD,1.34963982805912,103.880190196309,398 UPPER PAYA LEBAR ROAD PRESTIGE POINT SINGAPORE 534986
GEYLANG CONSERVATION AREA,791 GEYLANG ROAD,791 GEYLANG ROAD,1.31518273880481,103.891736027175,791 GEYLANG ROAD GEYLANG CONSERVATION AREA SINGAPORE 389676
ONE DUSUN RESIDENCES,1 JALAN DUSUN,1 JALAN DUSUN,1.32696539864482,103.84367423097,1 JALAN DUSUN ONE DUSUN RESIDENCES SINGAPORE 329363
15 SCOTTS,15 SCOTTS ROAD,15 SCOTTS ROAD,1.30788492696723,103.83273062786,15 SCOTTS ROAD 15 SCOTTS SINGAPORE 228218
HIGHLAND CENTRE,22 YIO CHU KANG ROAD,22 YIO CHU KANG ROAD,1.35538775194974,103.877259450345,22 YIO CHU KANG ROAD HIGHLAND CENTRE SINGAPORE 545535
MILLAGE,55 CHANGI ROAD,55 CHANGI ROAD,1.31691626281217,103.898989823682,55 CHANGI ROAD SINGAPORE 419709
FENG MING BUILDING,288 JALAN BESAR,288 JALAN BESAR,1.31056078083496,103.858895468729,288 JALAN BESAR KM7 SINGAPORE 208951
ONE GEORGE STREET,1 GEORGE STREET,1 GEORGE STREET,1.28565854479174,103.84780786573,1 GEORGE STREET HIGH COMMISSION OF CANADA SINGAPORE 049145
CENTRAL SQUARE,20 HAVELOCK ROAD,20 HAVELOCK ROAD,1.28842848666711,103.84230028531,1 MAGAZINE ROAD UNION SQUARE CENTRAL SINGAPORE 059567
EAST VILLAGE,430 UPPER CHANGI ROAD,430 UPPER CHANGI ROAD,1.3317758150305,103.946201241591,430 UPPER CHANGI ROAD EAST VILLAGE SINGAPORE 487048
ROBINSON 112,112 ROBINSON ROAD,112 ROBINSON ROAD,1.27928232862918,103.848816437936,112 ROBINSON ROAD 112 ROBINSON SINGAPORE 068902
PIL BUILDING,140 CECIL STREET,140 CECIL STREET,,,
CROSS STREET EXCHANGE,"18,20,22 CROSS STREET",18 CROSS STREET,1.28355426127583,103.846882908595,18 CROSS STREET 18 CROSS SINGAPORE 048423
SLF BUILDING,510 THOMSON ROAD,510 THOMSON ROAD,1.3336502448472,103.839419152835,510 THOMSON ROAD SINGAPORE 298135
CONNEXION,1 FARRER PARK STATION ROAD,1 FARRER PARK STATION ROAD,1.31247326486217,103.853929522508,1 FARRER PARK STATION ROAD CONNEXION SINGAPORE 217562
N.A.,32 PENHAS ROAD,32 PENHAS ROAD,1.30946239045228,103.862296972346,32 PENHAS ROAD SINGAPORE 208191
MERCHANTS BUILDING,76 ENBLOC SOUTH BRIDGE ROAD,76 SOUTH BRIDGE ROAD,1.28696625647615,103.847834337689,76 SOUTH BRIDGE ROAD MERCHANTS BUILDING SINGAPORE 058706
CHIAT HONG BUILDING,110 MIDDLE ROAD,110 MIDDLE ROAD,1.29897975517742,103.853856480041,110 MIDDLE ROAD CHIAT HONG BUILDING SINGAPORE 188968
NEHSONS BUILDING,24 PECK SEAH STREET,24 PECK SEAH STREET,1.27827675001581,103.844847488529,24 PECK SEAH STREET HOTEL (U/C) SINGAPORE 079314
TAHIR BUILDING,140 ROBINSON ROAD,140 ROBINSON ROAD,1.27840697711555,103.848235943353,140 ROBINSON ROAD TAHIR BUILDING SINGAPORE 068907
MMI BUILDING,"70,72 SOUTH BRIDGE ROAD",70 SOUTH BRIDGE ROAD,1.28709625845764,103.847903177041,70 SOUTH BRIDGE ROAD MMI BUILDING II SINGAPORE 058700
N.A.,60 SOUTH BRIDGE ROAD,60 SOUTH BRIDGE ROAD,1.28749570595752,103.848115003507,60 SOUTH BRIDGE ROAD SINGAPORE 058690
THE COMMERZE@IRVING,1 IRVING PLACE,1 IRVING PLACE,1.33623678708616,103.88643382511,1 IRVING PLACE THE COMMERZE@IRVING SINGAPORE 369546
GEYLANG CONSERVATION AREA,259A GEYLANG ROAD,259A GEYLANG ROAD,1.31248726712219,103.877424666128,259A GEYLANG ROAD GEYLANG CONSERVATION AREA SINGAPORE 389315
SOHO 188,188 RACE COURSE ROAD,188 RACE COURSE ROAD,1.31119207325572,103.85327574283,188 RACE COURSE ROAD SOHO 188 SINGAPORE 218612
TELOK AYER CONSERVATION AREA,54 SOUTH BRIDGE ROAD,54 SOUTH BRIDGE ROAD,1.28763241185547,103.848195801997,54 SOUTH BRIDGE ROAD TELOK AYER CONSERVATION AREA SINGAPORE 058685
SOLITAIRE ON CECIL,148 CECIL STREET,148 CECIL STREET,1.28052373415224,103.848501581262,148 CECIL STREET SOLITAIRE ON CECIL SINGAPORE 069974
LIBERTY HOUSE,51 CLUB STREET,51 CLUB STREET,1.28195427575105,103.846007309767,51 CLUB STREET UNION HOUSE SINGAPORE 069428
N.A.,258 JALAN BESAR,258 JALAN BESAR,1.30992494776752,103.858481909879,258 JALAN BESAR SINGAPORE 208933
SUNHAVEN,781 UPPER CHANGI ROAD EAST,781 UPPER CHANGI ROAD EAST,1.34813938708512,103.962084910434,781 UPPER CHANGI ROAD EAST SUNHAVEN SINGAPORE 486069
NOMU,20 HANDY ROAD,20 HANDY ROAD,1.2998091733077,103.846962853661,20 HANDY ROAD NOMU SINGAPORE 229236
VIVA VISTA,3 SOUTH BUONA VISTA ROAD,3 SOUTH BUONA VISTA ROAD,1.27980322314972,103.78590960328,3 SOUTH BUONA VISTA ROAD VIVA VISTA SINGAPORE 118136
ONE CLAYMORE,1 CLAYMORE DRIVE,1 CLAYMORE DRIVE,1.30756236897064,103.829352193027,1 CLAYMORE DRIVE EMBASSY OF ROMANIA SINGAPORE 229594
VISIONCREST,103 PENANG ROAD,103 PENANG ROAD,1.29910790069205,103.842700035576,103 PENANG ROAD VISIONCREST SINGAPORE 238467
N.A.,55 LORONG L TELOK KURAU,55 LORONG L TELOK KURAU,1.3118205086709,103.910557235164,55 LORONG L TELOK KURAU BRIGHT CENTRE SINGAPORE 425500
NEW WORLD CENTRE,1 JALAN BERSEH,1 JALAN BERSEH,1.30778509510261,103.857010982845,1 JALAN BERSEH SINGAPORE 209037
WILMER PLACE,50 ARMENIAN STREET,50 ARMENIAN STREET,1.29436707678809,103.849678556536,50 ARMENIAN STREET WILMER PLACE SINGAPORE 179938
MAPLETREE ANSON,60 ANSON ROAD,60 ANSON ROAD,1.27481626802236,103.845177360665,60 ANSON ROAD SINGAPORE 079914
N.A.,20 HARBOUR DRIVE,20 HARBOUR DRIVE,1.28308482616916,103.779351452161,20 HARBOUR DRIVE SINGAPORE 117612
TRIO,11 SAM LEONG ROAD,11 SAM LEONG ROAD,1.3090777890253,103.856932443349,11 SAM LEONG ROAD TRIO SINGAPORE 207903
ASCENT @ 456,456 BALESTIER ROAD,456 BALESTIER ROAD,1.32657360790909,103.848359893837,456 BALESTIER ROAD ASCENT @ 456 SINGAPORE 329832
ONE SOPHIA,1 SOPHIA ROAD,1 SOPHIA ROAD,1.30121862271795,103.849592475825,1 SOPHIA ROAD ONE SOPHIA SINGAPORE 228149
TOKIO MARINE CENTRE,20 MCCALLUM STREET,20 MCCALLUM STREET,1.27958236092444,103.847918363171,20 MCCALLUM STREET TOKIO MARINE CENTRE SINGAPORE 069046
20 COLLYER QUAY,20 COLLYER QUAY,20 COLLYER QUAY,1.28468928277083,103.852692297865,20 COLLYER QUAY 20 COLLYER QUAY SINGAPORE 049319
THE GOLDEN MILE,800 BEACH ROAD,800 BEACH ROAD,1.30267575412705,103.865061686677,800 BEACH ROAD THE GOLDEN MILE SINGAPORE 199979
N.A.,80 JALAN SENANG,80 JALAN SENANG,1.32598286142663,103.916424224823,80 JALAN SENANG SINGAPORE 418433
SGX CENTRE 2,4 SHENTON WAY,4 SHENTON WAY,1.27927719519315,103.849796993929,4 SHENTON WAY SGX CENTRE SINGAPORE 068807
JUNCTION NINE,18 YISHUN AVENUE 9,18 YISHUN AVENUE 9,1.4331228398318,103.84166098599,18 YISHUN AVENUE 9 JUNCTION NINE SINGAPORE 768897
PAVILION SQUARE,345 GEYLANG ROAD,345 GEYLANG ROAD,1.31297800060859,103.879770800217,345 GEYLANG ROAD PAVILION SQUARE SINGAPORE 389366
WING FONG BUILDING,5B GUILLEMARD ROAD,5B GUILLEMARD ROAD,1.30888641448774,103.87726882556,5B GUILLEMARD ROAD WING FONG BUILDING SINGAPORE 399685
WISMA ATRIA,435 ORCHARD ROAD,435 ORCHARD ROAD,1.30369890679412,103.833189592785,435 ORCHARD ROAD EMBASSY OF THE REPUBLIC OF POLAND SINGAPORE 238877
BUKIT PASOH BUILDING,3 BUKIT PASOH ROAD,3 BUKIT PASOH ROAD,1.2785892985582,103.840743458366,3 BUKIT PASOH ROAD BUKIT PASOH BUILDING SINGAPORE 089817
GOLDHILL SHOPPING CENTRE,181B THOMSON ROAD,181B THOMSON ROAD,1.3184407784765,103.843615995542,181B THOMSON ROAD GOLDHILL SHOPPING CENTRE SINGAPORE 307627
KINDOL GARDENS,69 JALAN MALU-MALU,69 JALAN MALU-MALU,1.44381831625272,103.825776599411,69 JALAN MALU-MALU KINDOL GARDENS SINGAPORE 769683
REHAU BUILDING,1 KING GEORGE'S AVENUE,1 KING GEORGE'S AVENUE,1.30714018450423,103.858643250322,1 KING GEORGE'S AVENUE REHAU BUILDING SINGAPORE 208557
N.A.,111 DEVONSHIRE ROAD,111 DEVONSHIRE ROAD,1.29972188487555,103.836622472407,111 DEVONSHIRE ROAD SINGAPORE 239877
